EQ,group
1991,3
1992,326
1993,128
1994,327
1995,328
1996,329
1997,157
1998,249
1999,157
2000,317
2001,252
2002,292
2003,330
2004,161
2005,262
2006,196
2007,331
2008,250
2009,330
2010,286
2011,157
2012,32
2013,3
2014,252
2015,332
2016,3
2017,57
2018,333
2019,252
2020,252
2021,243
2022,239
2023,252
2024,157
2025,334
2026,252
2027,292
2028,38
2029,38
2030,37
2031,37
2032,335
2033,252
2034,239
2035,254
2036,45
2037,252
2038,161
2039,270
2040,121
2041,336
2042,337
2043,296
2044,161
2045,252
2046,252
2047,338
2048,339
2049,296
2050,252
2051,209
2052,300
2053,234
2054,258
2055,292
2056,252
2057,340
2058,233
2059,233
2060,157
2061,247
2062,341
2063,65
2064,252
2065,342
2066,341
2067,296
2068,343
2069,344
2070,238
2071,296
2072,345
2073,275
2074,252
2075,252
2076,334
2077,252
2078,252
2079,252
2080,277
2081,278
2082,270
2083,270
2084,252
2085,341
2086,233
2087,255
2088,346
2089,252
2090,252
2091,312
2092,255
2093,3
2094,254
2095,322
2096,2
2097,45
2098,239
2099,347
2100,270
2101,252
2102,292
2103,348
2104,23
2105,9
2106,2
2107,9
2108,0
2109,349
2110,76
2111,23
2112,324
2113,23
2114,9
2115,13
2116,275
2117,46
2118,23
2119,8
2120,23
2121,324
2122,76
2123,8
2124,8
2125,1
2126,350
2127,7
2128,13
2129,351
2130,7
2131,7
2132,23
2133,2
2134,8
2135,324
2136,3
2137,352
2138,353
2139,354
2140,9
2141,13
2142,355
2143,324
2144,2
2145,9
2146,17
2147,324
2148,324
2149,356
2150,357
2151,358
2152,2
2153,359
2154,360
2155,324
2156,13
2157,51
2158,7
2159,324
2160,324
2161,324
2162,76
2163,163
2164,3
2165,7
2166,17
2167,275
2168,324
2169,361
2170,324
2171,324
2172,362
2173,363
2174,17
2175,0
2176,364
2177,324
2178,365
2179,366
2180,275
2181,275
2182,367
2183,368
2184,324
2185,369
2186,45
2187,367
2188,370
2189,371
2190,372
2191,324
2192,365
2193,275
2194,355
2195,324
2196,362
2197,362
2198,373
2199,6
2200,324
2201,374
2202,375
2203,324
2204,324
2205,285
2206,367
2207,324
2208,324
2209,355
2210,23
2211,355
2212,355
2213,376
2214,324
2215,13
2216,324
2217,377
2218,68
2219,8
2220,48
2221,378
2222,13
2223,368
2224,367
2225,362
2226,324
2227,271
2228,362
2229,0
2230,66
2231,45
2232,9
2233,13
2234,379
2235,380
2236,139
2237,0
2238,23
2239,13
2240,3
2241,0
2242,13
2243,381
2244,382
2245,0
2246,23
2247,0
2248,2
2249,355
2250,171
2251,3
2252,383
2253,0
2254,13
2255,13
2256,0
2257,384
2258,11
2259,13
2260,0
2261,3
2262,11
2263,11
2264,385
2265,386
2266,7
2267,2
2268,24
2269,10
2270,24
2271,387
2272,387
2273,7
2274,121
2275,3
2276,0
2277,35
2278,3
2279,55
2280,388
2281,3
2282,3
2283,80
2284,389
2285,3
2286,3
2287,32
2288,24
2289,24
2290,42
2291,390
2292,2
2293,3
2294,7
2295,7
2296,7
2297,391
2298,275
2299,241
2300,144
2301,144
2302,7
2303,324
2304,275
2305,392
2306,356
2307,7
2308,42
2309,275
2310,354
2311,324
2312,3
2313,324
2314,74
2315,393
2316,394
2317,275
2318,324
2319,395
2320,396
2321,4
2322,324
2323,275
2324,45
2325,45
2326,275
2327,324
2328,324
2329,32
2330,324
2331,324
2332,354
2333,42
2334,4
2335,55
2336,275
2337,355
2338,328
2339,3
2340,328
2341,397
2342,398
2343,399
2344,368
2345,275
2346,42
2347,51
2348,80
2349,324
2350,340
2351,400
2352,401
2353,348
2354,270
2355,327
2356,402
2357,355
2358,403
2359,275
2360,355
2361,324
2362,324
2363,404
2364,9
2365,1
2366,9
2367,324
2368,324
2369,367
2370,405
2371,285
2372,275
2373,271
2374,362
2375,285
2376,363
2377,324
2378,352
2379,275
2380,275
2381,361
2382,324
2383,393
2384,324
2385,275
2386,324
2387,398
2388,377
2389,406
2390,407
2391,355
2392,275
2393,352
2394,324
2395,324
2396,324
2397,324
2398,324
2399,324
2400,408
2401,409
2402,271
2403,254
2404,324
2405,410
2406,410
2407,411
2408,412
2409,377
2410,355
2411,324
2412,324
2413,275
2414,232
2415,413
2416,413
2417,147
2418,398
2419,403
2420,270
2421,3
2422,414
2423,271
2424,275
2425,275
2426,377
2427,324
2428,270
2429,275
2430,275
2431,275
2432,415
2433,324
2434,368
2435,275
2436,352
2437,324
2438,362
2439,355
2440,355
2441,367
2442,416
2443,350
2444,88
2445,88
2446,88
2447,324
2448,324
2449,417
2450,367
2451,367
2452,418
2453,37
2454,324
2455,419
2456,420
2457,420
2458,355
2459,421
2460,275
2461,398
2462,363
2463,241
2464,270
2465,398
2466,398
2467,324
2468,275
2469,422
2470,423
2471,275
2472,424
2473,425
2474,285
2475,157
2476,21
2477,367
2478,324
2479,324
2480,355
2481,3
2482,426
2483,378
2484,427
2485,324
2486,378
2487,428
2488,275
2489,275
2490,367
2491,324
2492,196
2493,429
2494,234
2495,233
2496,275
2497,373
2498,324
2499,341
2500,270
2501,275
2502,275
2503,275
2504,275
2505,430
2506,68
2507,324
2508,376
2509,355
2510,324
2511,324
2512,252
2513,431
2514,431
2515,324
2516,373
2517,308
2518,271
2519,275
2520,324
2521,414
2522,355
2523,275
2524,275
2525,355
2526,324
2527,432
2528,254
2529,12
2530,28
2531,19
2532,19
2533,324
2534,322
2535,433
2536,376
2537,355
2538,275
2539,275
2540,434
2541,324
2542,435
2543,275
2544,275
2545,324
2546,355
2547,373
2548,403
2549,324
2550,355
2551,324
2552,324
2553,275
2554,275
2555,375
2556,352
2557,275
2558,308
2559,270
2560,275
2561,324
2562,398
2563,362
2564,362
2565,414
2566,367
2567,275
2568,275
2569,275
2570,436
2571,275
2572,368
2573,355
2574,324
2575,324
2576,355
2577,365
2578,324
2579,324
2580,324
2581,368
2582,324
2583,324
2584,291
2585,275
2586,437
2587,377
2588,324
2589,324
2590,285
2591,275
2592,312
2593,19
2594,37
2595,37
2596,335
2597,358
2598,275
2599,398
2600,398
2601,324
2602,324
2603,438
2604,438
2605,398
2606,398
2607,439
2608,275
2609,324
2610,363
2611,109
2612,373
2613,324
2614,378
2615,378
2616,42
2617,275
2618,324
2619,422
2620,407
2621,324
2622,324
2623,378
2624,275
2625,275
2626,377
2627,403
2628,363
2629,275
2630,440
2631,403
2632,403
2633,324
2634,291
2635,368
2636,27
2637,27
2638,367
2639,275
2640,271
2641,415
2642,441
2643,373
2644,324
2645,442
2646,355
2647,324
2648,275
2649,271
2650,327
2651,327
2652,324
2653,442
2654,443
2655,444
2656,275
2657,414
2658,445
2659,373
2660,368
2661,324
2662,324
2663,446
2664,275
2665,275
2666,241
2667,447
2668,442
2669,442
2670,324
2671,367
