separated_group,separated_EQ,MIN_E
174,2379,-1231.791321399418
175,6757,-1231.822000506625
176,6001,-1157.582125449812
177,2419,-1157.603303747776
178,3021,-1157.599099740017
179,2469,-1231.83534877742
180,2480,-756.692279859524
181,2493,-1140.537971152461
182,2497,-1157.598639059174
183,2499,-1231.79169507933
184,3179,-925.324945154863
185,2549,-1157.551291023779
186,3108,-925.361131653488
187,2587,-834.042119189517
188,2624,-1231.828379870648
189,2634,-1231.777734932918
190,3666,-1231.813017190434
191,,
192,,
193,3111,-1157.579581319917
194,,
195,2786,-1157.580868137662
196,3970,-1231.809784539802
197,4261,-1231.798720824711
198,2812,-1463.98232575779
199,2815,-1157.62028501024
200,2842,-925.369003005419
201,6793,-1231.82459987895
202,5064,-925.382441813139
203,2852,-538.669185271236
204,3761,-925.382448886013
205,5712,-1157.616323519806
206,2931,-1157.583152064596
207,2933,-1157.614034901826
208,3275,-1157.606939580991
209,2980,-1157.563038947362
210,2984,-1464.043407325506
211,3263,-1231.819319428745
212,3029,-1157.582126670969
213,3044,-1231.796837582123
214,3067,-1231.828374769581
215,3095,-1231.838901795084
216,,
217,6400,-1157.604455873711
218,3317,-1231.831182347809
219,3135,-1157.585094162228
220,3142,-1231.820139987449
221,3144,-1464.013484472049
222,3186,-1157.574641380115
223,3198,-1231.827283159271
224,3202,-1157.576176317224
225,3257,-1157.56158279669
226,,
227,,
228,3314,-925.402250648037
229,3319,-1231.811319652422
230,3331,-1464.027127587849
231,4075,-1231.818722525398
232,4171,-987.673266397306
233,6103,-476.344828364038
234,5947,-1231.824897892226
235,,
236,5200,
237,3357,-1157.60424107326
238,3371,-1231.795910262776
239,3375,-1231.821998866707
240,3379,-1231.828352399807
241,3390,-1231.820691957526
242,,
243,3460,-1231.788368667815
244,3484,-1043.265823749404
245,3674,-1464.042327274451
246,4105,-1464.007706586975
247,6256,-1464.021935580858
248,4211,
249,3537,-1464.016923085775
250,3541,-1464.00589519322
251,3659,-1464.014535048326
252,4245,-1464.018298856442
253,4142,-1140.520807114819
254,3575,-1464.019710320217
255,3606,-1157.585568187337
256,3857,-1464.01184203354
257,6078,-1231.797169179516
258,6844,-1157.601339712982
259,3648,-1231.835067573194
260,4419,-1464.021668093819
261,3663,-1464.007437220347
262,4203,-1464.015283433
263,4063,-1464.016256347659
264,6003,-987.647927391074
265,6004,-476.342116383541
266,4231,-1464.031362855774
267,5950,-987.669900903297
268,5247,-1464.029666137241
269,3742,-1464.017550947216
270,3752,-925.402254063019
271,3754,-306.423281209856
272,3756,-1464.022527365835
273,6130,-1464.016329222865
274,3787,-1464.02884825575
275,3794,-1231.823260893113
276,3798,-1464.002675471619
277,4115,-1464.018567184965
278,3841,-1231.823479826506
279,4205,-476.305589844693
280,3866,-1231.761947989431
281,3870,-1463.994443035168
282,3878,-1463.995216959976
283,3881,-1464.00487995066
284,,
285,4385,-476.344830389251
286,4732,-1464.048833530937
287,4303,-1463.98097888822
288,3904,-1464.000218940047
289,3905,-1231.807478071
290,5685,-1464.057817467798
291,3908,-1231.81783242549
292,4443,-1157.617375738794
293,5650,-1157.618697631787
294,3918,-925.387803065147
295,3934,-1231.817827396821
296,3936,-1231.796383324971
297,3949,-968.982951020438
298,3962,-1464.012927689686
299,3967,-1043.258039366497
300,5022,-1464.046804407606
301,,
302,3984,-1463.997980853248
303,3986,-1464.008318849096
304,4005,-1463.995912084712
305,4038,-1464.049667898045
306,5851,-1464.046188716119
307,4413,-476.31438805117
308,4053,-1464.017546286598
309,4072,-1463.994411911898
310,4073,-1157.580863669087
311,4080,-1464.029427558904
312,4083,-1464.010834801693
313,4133,-1464.001931919222
314,4108,-1464.006076693498
315,4109,-1464.003480291369
316,4194,-1464.01893386235
317,4114,-1464.010359028836
318,4125,-1231.792808282741
319,4127,-1043.258114092749
320,4130,-1043.227678610782
321,7237,-1464.03368618619
322,4181,-1464.05516587535
323,4182,-645.540457498679
324,4186,-925.370295567017
325,4219,-1463.98773805257
326,5335,-1464.048118843953
327,,
328,4248,-925.402251411602
329,4263,-1157.600439033617
330,,
331,4273,-1464.006793170764
332,4275,-1157.580862771588
333,4282,-1463.995881453119
334,4288,-1231.82377380736
335,4299,-1231.806875942819
336,6096,-476.304011753901
337,4307,-1464.019437709863
338,4308,-1464.058193800589
339,4314,-987.659432010854
340,4315,-476.342117778871
341,4318,-1157.587644989713
342,4322,-1464.051311420099
343,4323,-1464.026470334133
344,4324,-1463.992546597933
345,4340,-1464.007963432979
346,4338,-1464.041747787016
347,4349,-476.30390682751
348,4354,-1464.014367748646
349,4362,-1464.013724260738
350,,
351,4390,-925.346247775167
352,4393,-736.793499208172
353,4402,-1464.010357840199
354,4403,-1231.783075156846
355,4415,-1464.016423981885
356,5509,-1157.591159330856
357,4425,-1464.015530488269
358,4429,-1157.572853878794
359,4431,-1157.572849129571
360,4435,-1464.027173013663
361,4456,-1464.017556235567
362,4473,-1157.567142403103
363,4480,-1464.055975652656
364,4498,-1140.519167569722
365,5121,-1464.059976376381
366,4549,-1157.499427708434
367,5031,-1464.041464935411
368,4570,-1157.594754049971
369,4955,-1231.834251244139
370,6914,-476.344829670933
371,4596,-1464.041556399256
372,6534,-1464.081908973135
373,5343,-1463.992158766777
374,4602,-1464.021325477752
375,4603,-1464.042819658629
376,4633,-1157.616767443296
377,6567,-1157.628798954804
378,5838,-1140.551067309951
379,4647,-1231.81985426787
380,4650,-987.685151458409
381,4652,-1464.015682440222
382,5117,-1157.606108848037
383,4976,-1157.619397797722
384,4660,-1463.983863315502
385,4665,-1157.612711339645
386,4667,-1464.026355177638
387,4668,-1464.027543087407
388,6873,-476.34483156338
389,4686,-1463.98956533307
390,5287,-1464.041774936402
391,5220,-1140.547154057115
392,5848,-1464.056613293093
393,5184,-1157.618702140948
394,4749,-1140.54300639504
395,4751,-1464.020550462443
396,4774,-1140.500131512897
397,4776,-1140.47177189574
398,4796,-1157.577781904058
399,4810,-1140.515741034471
400,4829,-1231.76765189116
401,4831,-1157.614535120856
402,4845,-1157.590457136313
403,4866,-1140.500309326446
404,4874,-1464.015403431535
405,4887,-1231.80639600679
406,4903,-1463.972412646891
407,4916,-1463.967407046357
408,5037,-1464.030331800206
409,4933,-1140.490802657153
410,4937,-1464.040675905188
411,4938,-1464.017763564424
412,4971,-1231.792437766451
413,6207,-1464.058592687894
414,7059,-987.682005669929
415,4987,-1464.011597747055
416,4988,-1231.803444857585
417,4994,-1464.031637254761
418,5473,-1140.550242498608
419,5698,-1157.628806767614
420,5021,-1464.042494872667
421,5043,-1464.003934649222
422,5378,-1464.017786433786
423,5055,-1464.007740405968
424,5056,-1464.006780407042
425,5062,-1157.60123907594
426,5067,-1043.267927532893
427,5080,-925.402252592201
428,5430,-1464.044847517688
429,6740,-987.693949655323
430,,
431,,
432,5130,-1464.006847523759
433,5135,-1464.042766273763
434,5139,-1464.068315446916
435,5141,-1464.059663449179
436,5144,-1140.532451930759
437,5158,-1140.551069026072
438,5160,-1231.792925763816
439,5901,-1464.038916715355
440,5164,-1464.00708347094
441,5177,-1231.806814243937
442,6051,-1231.834935654122
443,5186,-834.086118674889
444,5196,-681.195661780175
445,5214,-925.375771224881
446,6983,-926.592509731899
447,5230,-537.449403630935
448,5246,-1464.0182333174
449,,
450,5267,-1464.030763990578
451,5426,-987.658432510922
452,6189,-399.87991931669
